Name,Price,Discount Price,Category,Sub Category,Brand,id
Sunlight 2 in 1 Hand washing Powder Tropical Sensations 3.5kg,1200.0,1060.0,CLEANING,LAUNDRY,SUNLIGHT,14425
Sunlight 2 In 1 Handwashing Powder Tropical Sensations Sachet 500g,199.0,169.0,CLEANING,LAUNDRY,SUNLIGHT,14426
Sunlight Lavender Sensation 3.5Kg,1200.0,1060.0,CLEANING,LAUNDRY,SUNLIGHT,14427
Sunlight Lavender Sensaton 2Kg,680.0,591.0,CLEANING,LAUNDRY,SUNLIGHT,14428
Sunlight Spring Sensation 2Kg,680.0,591.0,CLEANING,LAUNDRY,SUNLIGHT,14429
Sunlight Tropical Sensation 2Kg,680.0,591.0,CLEANING,LAUNDRY,SUNLIGHT,14430
Topex Bleach 2.25L,550.0,550.0,CLEANING,ALL PURPOSE CLEANERS,TOPEX,14335
Topex Bleach 5L,1100.0,1100.0,CLEANING,ALL PURPOSE CLEANERS,TOPEX,14337
Topex Bleach 500ml,180.0,180.0,CLEANING,ALL PURPOSE CLEANERS,TOPEX,14338
Topex Bleach 750ml,576.0,576.0,CLEANING,ALL PURPOSE CLEANERS,TOPEX,14339
Topex Bleach Colours 500ml,350.0,350.0,CLEANING,ALL PURPOSE CLEANERS,TOPEX,14342
Topex Bleach Colours 750ml,440.0,440.0,CLEANING,ALL PURPOSE CLEANERS,TOPEX,14343
Topex Bleach Lemon 750ml,260.0,260.0,CLEANING,ALL PURPOSE CLEANERS,TOPEX,14346
Toss Detergent Powder 1Kg,350.0,350.0,CLEANING,LAUNDRY,TOSS,14432
Toss Detergent Powder 500g,195.0,195.0,CLEANING,LAUNDRY,TOSS,14433
Toss Detergent Powder Sachet 3.5Kg,1135.0,1135.0,CLEANING,LAUNDRY,TOSS,14434
Toss Detergent Powder Sachet 5Kg,1145.0,1145.0,CLEANING,LAUNDRY,TOSS,14435
Toss Liquid Detergent 1L,240.0,240.0,CLEANING,LAUNDRY,TOSS,14436
Toss Sensitive Detergent Powder 1Kg,350.0,350.0,CLEANING,LAUNDRY,TOSS,14437
Toss White Washing Powder 1Kg,350.0,350.0,CLEANING,LAUNDRY,TOSS,14438
Toss White Washing Powder 500g,195.0,195.0,CLEANING,LAUNDRY,TOSS,14439
Toss White Machine Wash 1.5Kg,630.0,630.0,CLEANING,LAUNDRY,TOSS,14460
Ushindi Cream Bar Soap 1Kg,250.0,179.0,CLEANING,LAUNDRY,USHINDI,14272
Ushindi Cream Bar Soap 800g,200.0,155.0,CLEANING,LAUNDRY,USHINDI,14273
Ushindi Gentle Multi-Purpose Antiseptic Soap 175g,55.0,55.0,CLEANING,LAUNDRY,USHINDI,14284
Ushindi Gentle Multi-Purpose Soap Blue 175g,50.0,50.0,CLEANING,LAUNDRY,USHINDI,14285
Ushindi Gentle Multi-Purpose Soap White 175g,50.0,50.0,CLEANING,LAUNDRY,USHINDI,14286
Ushindi Gentle Multi-Purpose Soap Yellow 175g,50.0,50.0,CLEANING,LAUNDRY,USHINDI,14287
Ushindi Yellow 175g,90.0,90.0,CLEANING,LAUNDRY,USHINDI,14288
Kleenit Handy 2 In 1 Scrubbing Pad 3 Pieces,134.0,134.0,CLEANING,SCRUBBERS + SPONGES,KLEENIT,14485
Kleenit Combo Scrubbing Pad With Sponge 5 Pieces,177.0,177.0,CLEANING,SCRUBBERS + SPONGES,KLEENIT,14483
Kleenit Swipe Sponge Cloth 3 Pieces,253.0,253.0,CLEANING,SCRUBBERS + SPONGES,KLEENIT,14468
Kleenit Swipe Sponge Cloth 1 Piece,92.0,92.0,CLEANING,SCRUBBERS + SPONGES,KLEENIT,14467
Safisha Steel Wool 75g,38.0,38.0,CLEANING,SCRUBBERS + SPONGES,SAFISHA,14494
Safisha Scouring Pad 6 Pieces,155.0,155.0,CLEANING,SCRUBBERS + SPONGES,SAFISHA,14493
Safisha Scouring Pad 4 Pieces,105.0,105.0,CLEANING,SCRUBBERS + SPONGES,SAFISHA,14492
Safisha Scouring Pad 12 Pieces,305.0,305.0,CLEANING,SCRUBBERS + SPONGES,SAFISHA,14491
Safisha Kitchen Cleaner 1 Pieces,63.0,63.0,CLEANING,SCRUBBERS + SPONGES,SAFISHA,14490
Safisha Handy Cleaner 4 Pieces,155.0,155.0,CLEANING,SCRUBBERS + SPONGES,SAFISHA,14489
Safisha Groovy Sponge 4 Pieces,215.0,215.0,CLEANING,SCRUBBERS + SPONGES,SAFISHA,14487
Safisha Groovy Sponge 1 Piece,63.0,63.0,CLEANING,SCRUBBERS + SPONGES,SAFISHA,14486
Safisha Gentle Scrub Sponge 4 Pieces,220.0,220.0,CLEANING,SCRUBBERS + SPONGES,SAFISHA,14477
Safisha Kitchen Cleaner 4 Pieces,220.0,220.0,CLEANING,SCRUBBERS + SPONGES,SAFISHA,14466
Safisha Bathroom Cleaner 4 Pieces,255.0,255.0,CLEANING,SCRUBBERS + SPONGES,SAFISHA,14465
Safisha Bathroom Cleaner 1 Piece,70.0,70.0,CLEANING,SCRUBBERS + SPONGES,SAFISHA,14464
Safisha All Surface Scrubber 1 Piece,97.0,97.0,CLEANING,SCRUBBERS + SPONGES,SAFISHA,14463
Scotch Brite Premium Quality Scouring Pad Large 150 X 190 Mm,89.0,89.0,CLEANING,SCRUBBERS + SPONGES,SCOTCH BRITE,14499
Scotch Brite Heavy Duty Scouring Pad 4 Pieces,175.0,175.0,CLEANING,SCRUBBERS + SPONGES,SCOTCH BRITE,14497
Scotch Brite Heavy Duty Scouring Pad 12 Pieces,515.0,515.0,CLEANING,SCRUBBERS + SPONGES,SCOTCH BRITE,14496
Scotch Brite Heavy Duty Laminate Nail Savers 9 Pieces,525.0,525.0,CLEANING,SCRUBBERS + SPONGES,SCOTCH BRITE,14495
Skybrite Sponge Scouring Pads 2Pk,90.0,90.0,CLEANING,SCRUBBERS + SPONGES,SKYBRITE,14512
Skybrite Scrub With Handle,325.0,325.0,CLEANING,SCRUBBERS + SPONGES,SKYBRITE,14511
